districtID,district,ln_gdppc2010,ln_gdppc2018,g
3317,Kabupaten Rembang,9.5562687,9.9244318,0.36816311
3318,Kabupaten Pati,9.6640434,10.05589,0.39184666
3319,Kabupaten Kudus,11.12644,11.32029,0.19384956
3320,Kabupaten Jepara,9.4040251,9.6963692,0.29234409
3321,Kabupaten Demak,9.3067751,9.6274834,0.32070827
3322,Kabupaten Semarang,10.04883,10.39004,0.34121037
3323,Kabupaten Temanggung,9.5235443,9.8478518,0.32430744
3324,Kabupaten Kendal,9.9446783,10.32004,0.37536144
3325,Kabupaten Batang,9.4986744,9.8496695,0.35099506
3326,Kabupaten Pekalongan,9.4095554,9.7646198,0.35506439
3327,Kabupaten Pemalang,9.0970287,9.4945097,0.39748096
3328,Kabupaten Tegal,9.2884159,9.7042751,0.41585922
3329,Kabupaten Brebes,9.3593273,9.7540255,0.39469814
3371,Kota Magelang,10.43021,10.82714,0.39692974
3372,Kota Surakarta,10.66712,11.07749,0.41036987
3373,Kota Salatiga,10.44132,10.77157,0.33024979
3374,Kota Semarang,10.85534,11.20533,0.34998989
3375,Kota Pekalongan,9.7048559,10.05531,0.35045433
3376,Kota Tegal,10.26575,10.65837,0.39262009
3401,Kulon.Progo,9.4662638,9.8066921,0.34042835
3402,Bantul,9.4969397,9.7998047,0.30286503
3403,Gunung.Kidul,9.4774799,9.7723751,0.29489517
3404,Sleman,9.8764362,10.22057,0.34413338
3471,Kota.Yogyakarta,10.70114,11.02059,0.31944942
3501,Pacitan,9.440094,9.796463,0.35636902
3502,Ponorogo,9.2553816,9.6060276,0.35064602
3503,Trenggalek,9.3746262,9.7210112,0.346385
3504,Tulungagung,9.7354345,10.07734,0.34190559
3505,Blitar,9.5812607,9.9016495,0.32038879
3506,Kediri,9.4046412,9.732995,0.32835388
3507,Malang,9.7327528,10.07296,0.3402071
3508,Lumajang,9.5567703,9.8912477,0.33447742
3509,Jember,9.5663204,9.905508,0.33918762
3510,Banyuwangi,9.9437799,10.3333,0.38951969
3511,Bondowoso,9.3529835,9.6778278,0.32484436
3512,Situbondo,9.4766312,9.7973604,0.32072926
3513,Probolinggo,9.5232658,9.8217793,0.29851341
3514,Pasuruan,10.60515,10.97182,0.36666965
3515,Sidoarjo,10.6404,10.94032,0.29992008
3516,Mojokerto,10.41023,10.7595,0.34926987
3517,Jombang,9.5748196,9.9163017,0.34148216
3518,Nganjuk,9.3230028,9.6596441,0.33664131
3519,Madiun,9.4123106,9.7661676,0.35385704
3520,Magetan,9.4973154,9.8545799,0.35726452
3521,Ngawi,9.2423992,9.6121893,0.36979008
3522,Bojonegoro,10.22055,10.8311,0.61055088
3523,Tuban,10.12646,10.46672,0.34025955
3524,Lamongan,9.531291,9.9507074,0.41941643
3525,Gresik,10.82012,11.15541,0.33528996
3526,Bangkalan,9.7678766,9.7980442,0.03016758
3527,Sampang,9.3437634,9.519784,0.17602062
3528,Pamekasan,9.0777254,9.3784323,0.30070686
3529,Sumenep,9.5812416,9.9592695,0.37802792
3571,Kota Kediri,12.27275,12.55477,0.28202057
3572,Kota Blitar,9.9788828,10.32905,0.35016727
3573,Kota Malang,10.54961,10.8979,0.34828949
3574,Kota Probolinggo,10.02606,10.36063,0.33456993
